"REPORTE DE CALIFICACIÓN"
901040792-4
INGETRONIK
"WHERE ALL IS POSIBLE"
CIUDAD
CARTAGO
SEDE
INGETRONIK
"JESUS GONZALEZ"
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,12
REGULAR,12
BUENO,12
EXCELENTE,12
,48
"¿QUE TAN PROBABLE ES QUE NOS VUELVA A COMPRAR?"
CALIFICACIÓN,TOTAL
MALO,2
,2
"DARWIN AGRADO"
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,20
REGULAR,20
BUENO,14
EXCELENTE,16
,70
"DUBAN MONSALVE"
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,30
REGULAR,30
BUENO,30
EXCELENTE,30
,120
DAVID
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,6
REGULAR,6
BUENO,10
EXCELENTE,22
,44
DANIELA
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,2
REGULAR,2
BUENO,2
EXCELENTE,2
,8
LEONARDO
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,20
REGULAR,12
BUENO,6
,38
SEBASTIAN
"¿COMO LE PARECIO EL SERVICIO?"
CALIFICACIÓN,TOTAL
MALO,20
REGULAR,6
BUENO,6
EXCELENTE,8
,40
"CIUDAD : CARTAGO"
"SEDE: INGETRONIK"
"NOMBRE USUARIO",PREGUNTA,CALIFICACIÓN,"FECHA DE CALIFICACIÓN"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:08"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:08"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:12"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:12"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:16"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:16"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:20"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:20"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:22"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:22"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:25"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:25"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:28"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:28"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:31"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:31"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:33"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:33"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:36"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",MALO,"2019-09-30 08:55:36"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:39"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:39"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:42"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:42"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:44"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:44"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:47"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:47"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:49"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:49"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:52"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:52"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:55"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:55"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:57"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:55:57"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:56:00"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:56:00"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:56:02"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",REGULAR,"2019-09-30 08:56:02"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:05"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:05"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:08"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:08"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:11"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:11"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:14"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:14"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:17"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:17"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:19"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:19"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:21"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:21"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:24"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:24"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:26"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:26"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:29"
"DUBAN MONSALVE","¿COMO LE PARECIO EL SERVICIO?",BUENO,"2019-09-30 08:56:29"
